string_id	string_id_alias	uniprot_alias
557	4932.YBR295W	PCA1	ATU1
558	4932.YBR297W	MAL33	MAL33
559	4932.YBR298C	MAL31	MAL31
560	4932.YBR299W	MAL32	MAL32
561	4932.YBR300C	YBR300C	YB8J
562	4932.YBR301W	PAU9	PAU9
563	4932.YBR302C	COS2	COS2
564	4932.YCL001W	YCL001W	RER1
565	4932.YCL001W-A	YCL001W-A	YC01A
566	4932.YCL001W-B	YCL001W-B	YC01B
567	4932.YCL002C	YCL002C	YCA2
568	4932.YCL004W	PGS1	PGPS1
569	4932.YCL005W	LDB16	LDB16
570	4932.YCL008C	STP22	STP22
571	4932.YCL009C	ILV6	ILV6
572	4932.YCL010C	SGF29	SGF29
573	4932.YCL011C	GBP2	GBP2
574	4932.YCL012C	YCL012C	YCB2
575	4932.YCL014W	BUD3	BUD3
576	4932.YCL016C	DCC1	DCC1
577	4932.YCL017C	NFS1	NFS1
578	4932.YCL018W	LEU3	LEU3
579	4932.YCL019W	YCL019W	YC21B
580	4932.YCL020W	YCL020W	YC21A
581	4932.YCL021W-A	YCL021W-A	YC021
582	4932.YCL023C	YCL023C	YCC3
583	4932.YCL024W	KCC4	KCC4
584	4932.YCL025C	AGP1	AGP1
585	4932.YCL026C-A	FRM2	FRM2
586	4932.YCL026C-B	HBN1	HBN1
587	4932.YCL027W	FUS1	FUS1
588	4932.YCL028W	[PIN(+)]	[PIN(+)]
589	4932.YCL029C	BIK1	BIK1
590	4932.YCL030C	HIS4	HIS4
591	4932.YCL031C	RRP7	RRP7
592	4932.YCL032W	STE50	STE50
593	4932.YCL033C	MXR2	MXR2
594	4932.YCL034W	LSB5	LSB5
595	4932.YCL035C	GRX1	GLRX1
596	4932.YCL036W	GFD2	GFD2
597	4932.YCL037C	SRO9	SRO9
598	4932.YCL038C	ATG22	ATG22
599	4932.YCL039W	GID7	GID7
600	4932.YCL040W	GLK1	HXKG
601	4932.YCL042W	YCL042W	YCE2
602	4932.YCL043C	PDI	PDI
603	4932.YCL044C	MGR1	MGR1
604	4932.YCL045C	EMC1	EMC1
605	4932.YCL046W	YCL046W	YCE6
606	4932.YCL047C	POF1	POF1
607	4932.YCL048W	SPS22	SPS22
608	4932.YCL049C	YCL049C	YCE9
609	4932.YCL050C	APA1	APA1
610	4932.YCL051W	LRE1	LRE1
611	4932.YCL052C	PBN1	PBN1
612	4932.YCL054W	SPB1	SPB1
613	4932.YCL055W	KAR4	KAR4
614	4932.YCL056C	PEX34	PEX34
615	4932.YCL057C-A	MIC10	MIC10
616	4932.YCL057W	PRD1	PRTD
617	4932.YCL058C	FYV5	FYV5
618	4932.YCL058W-A	ADF1	ADF1
619	4932.YCL059C	KRR1	KRR1
620	4932.YCL061C	MRC1	MRC1
621	4932.YCL063W	VAC17	VAC17
622	4932.YCL064C	CHA1	STDH
623	4932.YCL065W	YCL065W	YCG5
624	4932.YCL066W	MATALPHA1	HMAL1
625	4932.YCL067C	MATALPHA2	HMRA2
626	4932.YCL068C	YCL068C	YCG8
627	4932.YCL069W	VBA3	VBA3
628	4932.YCL073C	GEX1	GEX1
629	4932.YCL076W	YCL076W	YCH6
630	4932.YCR001W	YCR1W	YCP2
631	4932.YCR002C	YCR022	CDC10
632	4932.YCR003W	MRPL32	RM32
633	4932.YCR004C	YCP4	YCP4
634	4932.YCR005C	YCR043	CISY2
635	4932.YCR006C	YCR6C	YCP6
636	4932.YCR007C	YCR045	YCP7
637	4932.YCR008W	YCR101	HAL4
638	4932.YCR009C	RVS161	RV161
639	4932.YCR010C	ADY2	ADY2
640	4932.YCR011C	ADP1	ADP1
641	4932.YCR012W	PGK	PGK
642	4932.YCR013C	YCR013C	YCQ3
643	4932.YCR014C	POL4	DPO4
644	4932.YCR015C	CTO1	CTO1
645	4932.YCR016W	YCR016W	YCQ6
646	4932.YCR017C	CWH43	CWH43
647	4932.YCR018C	YCR018C	SRD1
648	4932.YCR018C-A	YCR018C-A	YC018
649	4932.YCR019W	MAK32	MAK32
650	4932.YCR020C	PET18	PET18
651	4932.YCR020C-A	MAK31	NAA38
652	4932.YCR020W-B	HTL1	HTL1
